web-scraper-order,web-scraper-start-url,rest-link,rest-link-href,shopname,cuisine,item_name,item_desc,product_img,item_price,shop_rating,shop_address,shop_period
"1622642134-3210","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","LiHO TEA (West Coast Plaza)4.7/5 (612)$$$BeveragesTea TimeBubble TeaEveryday FavouritesPickup FavouritesS$ 3.49 Delivery fee25min","https://www.foodpanda.sg/restaurant/x3ru/liho-tea-west-coast-plaza","LiHO TEA (West Coast Plaza)","","","","","from  S$ 2.80","4.7/5","null","null"
"1622642164-5271","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Rangooli4.5/5 (2k+)$$$IndianSingaporeanWestern pandapro perksCurryFree deliveryPRO - Free Delivery30min","https://www.foodpanda.sg/restaurant/v1bv/rangooli","Rangooli","","V21. Aloo Mutter","","","","4.5/5","null","null"
"1622642173-6349","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Burger King (Clementi Mall)4.2/5 (86)$$$Fast FoodBurgersChickenS$ 2.19 Delivery feeNew25min","https://www.foodpanda.sg/restaurant/d5q1/burger-king-clementi-mall","Burger King (Clementi Mall)","","","","","from  S$ 9.50","4.2/5","null","null"
"1622642155-4952","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Kimly Zi Char (325 Clementi Ave 5)4.3/5 (735)$$$ChineseSingaporeanAsianDeals near youMonthly DealsS$ 2.69 Delivery fee30min","https://www.foodpanda.sg/restaurant/x2tv/kimly-zi-char-325-clementi-ave-5","Kimly Zi Char (325 Clementi Ave 5)","","","","","S$ 8.45","4.3/5","null","null"
"1622642125-2559","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Xin Wang Hong Kong Cafe (West Coast Plaza)4.5/5 (2k+)$$$ChineseLunchDinnerDim SumS$ 3.49 Delivery fee35min","https://www.foodpanda.sg/restaurant/v7ev/xin-wang-hong-kong-cafe-west-coast-plaza","Xin Wang Hong Kong Cafe (West Coast Plaza)","","8552D Wang Wang Ice Shaved Mountain","","","","4.5/5","null","null"
"1622642057-80","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","NeNe Chicken (Star Vista) - Islandwide Delivery4.2/5 (15)$$$KoreanHalalIslandwide DeliveryDeals near youMonthly DealsS$ 5.99 Delivery feeDiscount 30%Islandwide Delivery35min","https://www.foodpanda.sg/restaurant/rgbc/nene-chicken-star-vista-islandwide-delivery","NeNe Chicken (Star Vista) - Islandwide Delivery","","","","","from  S$ 15","4.2/5","null","null"
"1622642192-7843","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Light of India - Restaurant Delivery4.4/5 (7)$$$IndianMeatSoupsNoodlesRice DishesS$ 6 Delivery feeDiscount 15%Featured30min","https://www.foodpanda.sg/restaurant/vyrr/light-of-india-restaurant-delivery","Light of India - Restaurant Delivery","","Poori & Bhaji","","","","4.4/5","null","null"
"1622642090-1208","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Mohamad Ali Drinks Stall4.6/5 (97)$$$Beverages pandapro perksFree deliveryFree Delivery!25min","https://www.foodpanda.sg/restaurant/x9yw/mohamad-ali-drinks-stall","Mohamad Ali Drinks Stall","","Masalati","","","","4.6/5","null","null"
"1622642192-8058","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Light of India - Restaurant Delivery4.4/5 (7)$$$IndianMeatSoupsNoodlesRice DishesS$ 6 Delivery feeDiscount 15%Featured30min","https://www.foodpanda.sg/restaurant/vyrr/light-of-india-restaurant-delivery","Light of India - Restaurant Delivery","","","","","S$ 20.82S$ 24.50","4.4/5","null","null"
"1622642198-8545","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Omar Shariff (Bukit Timah) - Restaurant Delivery4.1/5 (3k+)$$$IndianSeafoodVegetarianChickenTea TimeBentoDinner pandapro perksDeals near youMonthly DealsFree deliveryPRO - Free Delivery!Discount 30%60min","https://www.foodpanda.sg/restaurant/v1ra/omar-shariff-bukit-timah-restaurant-delivery","Omar Shariff (Bukit Timah) - Restaurant Delivery","","","Boneless pieces of mutton cooked in a thick gravy - speciality of the house","","","4.1/5","null","null"
"1622642084-1063","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hong Kong Street Hock Kee Fish Head & Steamboat Restaurant4.2/5 (52)$$$Chinese pandapro perksFree deliveryFree Delivery!30min","https://www.foodpanda.sg/restaurant/y2qi/hong-kong-street-hock-kee-fish-head-and-steamboat-restaurant","Hong Kong Street Hock Kee Fish Head & Steamboat Restaurant","","","","","S$ 8.30","4.2/5","null","null"
"1622642176-6557","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Pizza Hut (West Coast Drive)4.4/5 (1k+)$$$PizzaItalianPastaDessertHalalFast FoodInternational pandapro perksDeals near youMonthly DealsS$ 1.49 Delivery feeDiscount 30%30min","https://www.foodpanda.sg/restaurant/w5tb/pizza-hut-west-coast-drive","Pizza Hut (West Coast Drive)","","","","","S$ 8","4.5/5","null","null"
"1622642195-8121","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Takagi Ramen (Clementi)4.5/5 (1k+)$$$JapaneseAsianNoodles pandapro perksBubble TeaFree deliveryFree Delivery!Featured30min","https://www.foodpanda.sg/restaurant/c2sn/takagi-ramen-clementi","Takagi Ramen (Clementi)","","1-for-1 Sakura Milk Sencha w Sakura Pearls (M)","","","","4.5/5","null","null"
"1622642198-8456","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Omar Shariff (Bukit Timah) - Restaurant Delivery4.1/5 (3k+)$$$IndianSeafoodVegetarianChickenTea TimeBentoDinner pandapro perksDeals near youMonthly DealsFree deliveryPRO - Free Delivery!Discount 30%60min","https://www.foodpanda.sg/restaurant/v1ra/omar-shariff-bukit-timah-restaurant-delivery","Omar Shariff (Bukit Timah) - Restaurant Delivery","","Mango Lassi","","","","4.1/5","null","null"
